date,team1,team2,score1,score2,time,game_type,text_content
"Wednesday, June 18, 2025",Boston Red Sox,Seattle Mariners,3,1,,,Boston Red Sox (3) @ Seattle Mariners (1) Boxscore
"Wednesday, June 18, 2025",Cleveland Guardians,San Francisco Giants,4,2,,,Cleveland Guardians (4) @ San Francisco Giants (2) Boxscore
"Wednesday, June 18, 2025",Baltimore Orioles,Tampa Bay Rays,8,12,,,Baltimore Orioles (8) @ Tampa Bay Rays (12) Boxscore
"Wednesday, June 18, 2025",Kansas City Royals,Texas Rangers,6,3,,,Kansas City Royals (6) @ Texas Rangers (3) Boxscore
"Wednesday, June 18, 2025",Arizona D'Backs,Toronto Blue Jays,1,8,,,Arizona D'Backs (1) @ Toronto Blue Jays (8) Boxscore
"Wednesday, June 18, 2025",Colorado Rockies,Washington Nationals,3,1,,,Colorado Rockies (3) @ Washington Nationals (1) Boxscore
"Thursday, June 19, 2025",Houston Astros,Athletics,4,6,,,Houston Astros (4) @ Athletics (6) Boxscore
"Thursday, June 19, 2025",New York Mets,Atlanta Braves,1,7,,,New York Mets (1) @ Atlanta Braves (7) Boxscore
"Thursday, June 19, 2025",St. Louis Cardinals,Chicago White Sox,5,4,,,St. Louis Cardinals (5) @ Chicago White Sox (4) Boxscore
"Thursday, June 19, 2025",St. Louis Cardinals,Chicago White Sox,8,6,,,St. Louis Cardinals (8) @ Chicago White Sox (6) Boxscore
"Thursday, June 19, 2025",Milwaukee Brewers,Chicago Cubs,8,7,,,Milwaukee Brewers (8) @ Chicago Cubs (7) Boxscore
"Thursday, June 19, 2025",Minnesota Twins,Cincinnati Reds,12,5,,,Minnesota Twins (12) @ Cincinnati Reds (5) Boxscore
"Thursday, June 19, 2025",Pittsburgh Pirates,Detroit Tigers,2,9,,,Pittsburgh Pirates (2) @ Detroit Tigers (9) Boxscore
"Thursday, June 19, 2025",Pittsburgh Pirates,Detroit Tigers,8,4,,,Pittsburgh Pirates (8) @ Detroit Tigers (4) Boxscore
"Thursday, June 19, 2025",San Diego Padres,Los Angeles Dodgers,5,3,,,San Diego Padres (5) @ Los Angeles Dodgers (3) Boxscore
"Thursday, June 19, 2025",Philadelphia Phillies,Miami Marlins,2,1,,,Philadelphia Phillies (2) @ Miami Marlins (1) Boxscore
"Thursday, June 19, 2025",Los Angeles Angels,New York Yankees,3,7,,,Los Angeles Angels (3) @ New York Yankees (7) Boxscore
"Thursday, June 19, 2025",Cleveland Guardians,San Francisco Giants,1,2,,,Cleveland Guardians (1) @ San Francisco Giants (2) Boxscore
"Thursday, June 19, 2025",Baltimore Orioles,Tampa Bay Rays,4,1,,,Baltimore Orioles (4) @ Tampa Bay Rays (1) Boxscore
"Thursday, June 19, 2025",Kansas City Royals,Texas Rangers,4,1,,,Kansas City Royals (4) @ Texas Rangers (1) Boxscore
"Thursday, June 19, 2025",Arizona D'Backs,Toronto Blue Jays,9,5,,,Arizona D'Backs (9) @ Toronto Blue Jays (5) Boxscore
"Thursday, June 19, 2025",Colorado Rockies,Washington Nationals,3,4,,,Colorado Rockies (3) @ Washington Nationals (4) Boxscore
"Friday, June 20, 2025",Houston Astros,Los Angeles Angels,3,2,,,Houston Astros (3) @ Los Angeles Angels (2) Boxscore
"Friday, June 20, 2025",Cleveland Guardians,Athletics,1,5,,,Cleveland Guardians (1) @ Athletics (5) Boxscore
"Friday, June 20, 2025",Seattle Mariners,Chicago Cubs,9,4,,,Seattle Mariners (9) @ Chicago Cubs (4) Boxscore
"Friday, June 20, 2025",Arizona D'Backs,Colorado Rockies,14,8,,,Arizona D'Backs (14) @ Colorado Rockies (8) Boxscore
"Friday, June 20, 2025",Washington Nationals,Los Angeles Dodgers,5,6,,,Washington Nationals (5) @ Los Angeles Dodgers (6) Boxscore
"Friday, June 20, 2025",Atlanta Braves,Miami Marlins,2,6,,,Atlanta Braves (2) @ Miami Marlins (6) Boxscore
"Friday, June 20, 2025",Milwaukee Brewers,Minnesota Twins,17,6,,,Milwaukee Brewers (17) @ Minnesota Twins (6) Boxscore
"Friday, June 20, 2025",Baltimore Orioles,New York Yankees,5,3,,,Baltimore Orioles (5) @ New York Yankees (3) Boxscore
"Friday, June 20, 2025",New York Mets,Philadelphia Phillies,2,10,,,New York Mets (2) @ Philadelphia Phillies (10) Boxscore
"Friday, June 20, 2025",Texas Rangers,Pittsburgh Pirates,6,2,,,Texas Rangers (6) @ Pittsburgh Pirates (2) Boxscore
"Friday, June 20, 2025",Kansas City Royals,San Diego Padres,6,5,,,Kansas City Royals (6) @ San Diego Padres (5) Boxscore
"Friday, June 20, 2025",Boston Red Sox,San Francisco Giants,7,5,,,Boston Red Sox (7) @ San Francisco Giants (5) Boxscore
"Friday, June 20, 2025",Cincinnati Reds,St. Louis Cardinals,1,6,,,Cincinnati Reds (1) @ St. Louis Cardinals (6) Boxscore
"Friday, June 20, 2025",Detroit Tigers,Tampa Bay Rays,8,14,,,Detroit Tigers (8) @ Tampa Bay Rays (14) Boxscore
"Friday, June 20, 2025",Chicago White Sox,Toronto Blue Jays,7,1,,,Chicago White Sox (7) @ Toronto Blue Jays (1) Boxscore
"Saturday, June 21, 2025",Houston Astros,Los Angeles Angels,1,9,,,Houston Astros (1) @ Los Angeles Angels (9) Boxscore
"Saturday, June 21, 2025",Cleveland Guardians,Athletics,4,2,,,Cleveland Guardians (4) @ Athletics (2) Boxscore
"Saturday, June 21, 2025",Seattle Mariners,Chicago Cubs,7,10,,,Seattle Mariners (7) @ Chicago Cubs (10) Boxscore
"Saturday, June 21, 2025",Arizona D'Backs,Colorado Rockies,5,3,,,Arizona D'Backs (5) @ Colorado Rockies (3) Boxscore
"Saturday, June 21, 2025",Washington Nationals,Los Angeles Dodgers,7,3,,,Washington Nationals (7) @ Los Angeles Dodgers (3) Boxscore
"Saturday, June 21, 2025",Atlanta Braves,Miami Marlins,7,0,,,Atlanta Braves (7) @ Miami Marlins (0) Boxscore
"Saturday, June 21, 2025",Milwaukee Brewers,Minnesota Twins,9,0,,,Milwaukee Brewers (9) @ Minnesota Twins (0) Boxscore
"Saturday, June 21, 2025",Baltimore Orioles,New York Yankees,0,9,,,Baltimore Orioles (0) @ New York Yankees (9) Boxscore
"Saturday, June 21, 2025",New York Mets,Philadelphia Phillies,11,4,,,New York Mets (11) @ Philadelphia Phillies (4) Boxscore
"Saturday, June 21, 2025",Texas Rangers,Pittsburgh Pirates,3,2,,,Texas Rangers (3) @ Pittsburgh Pirates (2) Boxscore
"Saturday, June 21, 2025",Kansas City Royals,San Diego Padres,1,5,,,Kansas City Royals (1) @ San Diego Padres (5) Boxscore
"Saturday, June 21, 2025",Boston Red Sox,San Francisco Giants,2,3,,,Boston Red Sox (2) @ San Francisco Giants (3) Boxscore
"Saturday, June 21, 2025",Cincinnati Reds,St. Louis Cardinals,5,6,,,Cincinnati Reds (5) @ St. Louis Cardinals (6) Boxscore
"Saturday, June 21, 2025",Detroit Tigers,Tampa Bay Rays,3,8,,,Detroit Tigers (3) @ Tampa Bay Rays (8) Boxscore
"Saturday, June 21, 2025",Chicago White Sox,Toronto Blue Jays,1,7,,,Chicago White Sox (1) @ Toronto Blue Jays (7) Boxscore
"Sunday, June 22, 2025",Houston Astros,Los Angeles Angels,8,7,,,Houston Astros (8) @ Los Angeles Angels (7) Boxscore
"Sunday, June 22, 2025",Cleveland Guardians,Athletics,3,0,,,Cleveland Guardians (3) @ Athletics (0) Boxscore
"Sunday, June 22, 2025",Seattle Mariners,Chicago Cubs,14,6,,,Seattle Mariners (14) @ Chicago Cubs (6) Boxscore
"Sunday, June 22, 2025",Arizona D'Backs,Colorado Rockies,2,4,,,Arizona D'Backs (2) @ Colorado Rockies (4) Boxscore
"Sunday, June 22, 2025",Washington Nationals,Los Angeles Dodgers,7,13,,,Washington Nationals (7) @ Los Angeles Dodgers (13) Boxscore
"Sunday, June 22, 2025",Atlanta Braves,Miami Marlins,3,5,,,Atlanta Braves (3) @ Miami Marlins (5) Boxscore
"Sunday, June 22, 2025",Milwaukee Brewers,Minnesota Twins,9,8,,,Milwaukee Brewers (9) @ Minnesota Twins (8) Boxscore
"Sunday, June 22, 2025",Baltimore Orioles,New York Yankees,2,4,,,Baltimore Orioles (2) @ New York Yankees (4) Boxscore
"Sunday, June 22, 2025",New York Mets,Philadelphia Phillies,1,7,,,New York Mets (1) @ Philadelphia Phillies (7) Boxscore
"Sunday, June 22, 2025",Texas Rangers,Pittsburgh Pirates,3,8,,,Texas Rangers (3) @ Pittsburgh Pirates (8) Boxscore
"Sunday, June 22, 2025",Kansas City Royals,San Diego Padres,2,3,,,Kansas City Royals (2) @ San Diego Padres (3) Boxscore
"Sunday, June 22, 2025",Boston Red Sox,San Francisco Giants,5,9,,,Boston Red Sox (5) @ San Francisco Giants (9) Boxscore
"Sunday, June 22, 2025",Cincinnati Reds,St. Louis Cardinals,4,1,,,Cincinnati Reds (4) @ St. Louis Cardinals (1) Boxscore
"Sunday, June 22, 2025",Detroit Tigers,Tampa Bay Rays,9,3,,,Detroit Tigers (9) @ Tampa Bay Rays (3) Boxscore
"Sunday, June 22, 2025",Chicago White Sox,Toronto Blue Jays,4,2,,,Chicago White Sox (4) @ Toronto Blue Jays (2) Boxscore
"Monday, June 23, 2025",Boston Red Sox,Los Angeles Angels,5,9,,,Boston Red Sox (5) @ Los Angeles Angels (9) Boxscore
"Monday, June 23, 2025",Texas Rangers,Baltimore Orioles,0,6,,,Texas Rangers (0) @ Baltimore Orioles (6) Boxscore
"Monday, June 23, 2025",Arizona D'Backs,Chicago White Sox,10,0,,,Arizona D'Backs (10) @ Chicago White Sox (0) Boxscore
"Monday, June 23, 2025",New York Yankees,Cincinnati Reds,1,6,,,New York Yankees (1) @ Cincinnati Reds (6) Boxscore
"Monday, June 23, 2025",Pittsburgh Pirates,Milwaukee Brewers,5,4,,,Pittsburgh Pirates (5) @ Milwaukee Brewers (4) Boxscore
"Monday, June 23, 2025",Seattle Mariners,Minnesota Twins,11,2,,,Seattle Mariners (11) @ Minnesota Twins (2) Boxscore
"Monday, June 23, 2025",Atlanta Braves,New York Mets,3,2,,,Atlanta Braves (3) @ New York Mets (2) Boxscore
"Monday, June 23, 2025",Washington Nationals,San Diego Padres,10,6,,,Washington Nationals (10) @ San Diego Padres (6) Boxscore
"Monday, June 23, 2025",Chicago Cubs,St. Louis Cardinals,2,8,,,Chicago Cubs (2) @ St. Louis Cardinals (8) Boxscore
"Tuesday, June 24, 2025",Boston Red Sox,Los Angeles Angels,2,3,,,Boston Red Sox (2) @ Los Angeles Angels (3) Boxscore
"Tuesday, June 24, 2025",Texas Rangers,Baltimore Orioles,6,5,,,Texas Rangers (6) @ Baltimore Orioles (5) Boxscore
"Tuesday, June 24, 2025",Arizona D'Backs,Chicago White Sox,4,1,,,Arizona D'Backs (4) @ Chicago White Sox (1) Boxscore
"Tuesday, June 24, 2025",New York Yankees,Cincinnati Reds,4,5,,,New York Yankees (4) @ Cincinnati Reds (5) Boxscore
"Tuesday, June 24, 2025",Toronto Blue Jays,Cleveland Guardians,10,6,,,Toronto Blue Jays (10) @ Cleveland Guardians (6) Boxscore
"Tuesday, June 24, 2025",Los Angeles Dodgers,Colorado Rockies,9,7,,,Los Angeles Dodgers (9) @ Colorado Rockies (7) Boxscore
"Tuesday, June 24, 2025",Athletics,Detroit Tigers,4,11,,,Athletics (4) @ Detroit Tigers (11) Boxscore
"Tuesday, June 24, 2025",Philadelphia Phillies,Houston Astros,0,1,,,Philadelphia Phillies (0) @ Houston Astros (1) Boxscore
"Tuesday, June 24, 2025",Tampa Bay Rays,Kansas City Royals,5,1,,,Tampa Bay Rays (5) @ Kansas City Royals (1) Boxscore
"Tuesday, June 24, 2025",Pittsburgh Pirates,Milwaukee Brewers,3,9,,,Pittsburgh Pirates (3) @ Milwaukee Brewers (9) Boxscore
"Tuesday, June 24, 2025",Seattle Mariners,Minnesota Twins,6,5,,,Seattle Mariners (6) @ Minnesota Twins (5) Boxscore
"Tuesday, June 24, 2025",Atlanta Braves,New York Mets,7,4,,,Atlanta Braves (7) @ New York Mets (4) Boxscore
"Tuesday, June 24, 2025",Washington Nationals,San Diego Padres,3,4,,,Washington Nationals (3) @ San Diego Padres (4) Boxscore
"Tuesday, June 24, 2025",Miami Marlins,San Francisco Giants,4,2,,,Miami Marlins (4) @ San Francisco Giants (2) Boxscore
"Tuesday, June 24, 2025",Chicago Cubs,St. Louis Cardinals,7,8,,,Chicago Cubs (7) @ St. Louis Cardinals (8) Boxscore
"Wednesday, June 25, 2025",Boston Red Sox,Los Angeles Angels,2,5,,,Boston Red Sox (2) @ Los Angeles Angels (5) Boxscore
"Wednesday, June 25, 2025",Texas Rangers,Baltimore Orioles,7,0,,,Texas Rangers (7) @ Baltimore Orioles (0) Boxscore
"Wednesday, June 25, 2025",Arizona D'Backs,Chicago White Sox,3,7,,,Arizona D'Backs (3) @ Chicago White Sox (7) Boxscore
"Wednesday, June 25, 2025",New York Yankees,Cincinnati Reds,7,1,,,New York Yankees (7) @ Cincinnati Reds (1) Boxscore
"Wednesday, June 25, 2025",Toronto Blue Jays,Cleveland Guardians,4,5,,,Toronto Blue Jays (4) @ Cleveland Guardians (5) Boxscore
"Wednesday, June 25, 2025",Los Angeles Dodgers,Colorado Rockies,8,1,,,Los Angeles Dodgers (8) @ Colorado Rockies (1) Boxscore
"Wednesday, June 25, 2025",Athletics,Detroit Tigers,3,0,,,Athletics (3) @ Detroit Tigers (0) Boxscore
"Wednesday, June 25, 2025",Philadelphia Phillies,Houston Astros,0,2,,,Philadelphia Phillies (0) @ Houston Astros (2) Boxscore
"Wednesday, June 25, 2025",Tampa Bay Rays,Kansas City Royals,3,0,,,Tampa Bay Rays (3) @ Kansas City Royals (0) Boxscore
"Wednesday, June 25, 2025",Pittsburgh Pirates,Milwaukee Brewers,2,4,,,Pittsburgh Pirates (2) @ Milwaukee Brewers (4) Boxscore
"Wednesday, June 25, 2025",Seattle Mariners,Minnesota Twins,0,2,,,Seattle Mariners (0) @ Minnesota Twins (2) Boxscore
"Wednesday, June 25, 2025",Atlanta Braves,New York Mets,3,7,,,Atlanta Braves (3) @ New York Mets (7) Boxscore
"Wednesday, June 25, 2025",Washington Nationals,San Diego Padres,0,1,,,Washington Nationals (0) @ San Diego Padres (1) Boxscore
"Wednesday, June 25, 2025",Miami Marlins,San Francisco Giants,8,5,,,Miami Marlins (8) @ San Francisco Giants (5) Boxscore
"Wednesday, June 25, 2025",Chicago Cubs,St. Louis Cardinals,8,0,,,Chicago Cubs (8) @ St. Louis Cardinals (0) Boxscore
"Thursday, June 26, 2025",Toronto Blue Jays,Cleveland Guardians,6,0,,,Toronto Blue Jays (6) @ Cleveland Guardians (0) Boxscore
"Thursday, June 26, 2025",Los Angeles Dodgers,Colorado Rockies,3,1,,,Los Angeles Dodgers (3) @ Colorado Rockies (1) Boxscore
"Thursday, June 26, 2025",Athletics,Detroit Tigers,0,8,,,Athletics (0) @ Detroit Tigers (8) Boxscore
"Thursday, June 26, 2025",Philadelphia Phillies,Houston Astros,1,2,,,Philadelphia Phillies (1) @ Houston Astros (2) Boxscore
"Thursday, June 26, 2025",Tampa Bay Rays,Kansas City Royals,4,0,,,Tampa Bay Rays (4) @ Kansas City Royals (0) Boxscore
"Thursday, June 26, 2025",Seattle Mariners,Minnesota Twins,1,10,,,Seattle Mariners (1) @ Minnesota Twins (10) Boxscore
"Thursday, June 26, 2025",Atlanta Braves,New York Mets,0,4,,,Atlanta Braves (0) @ New York Mets (4) Boxscore
"Thursday, June 26, 2025",Miami Marlins,San Francisco Giants,12,5,,,Miami Marlins (12) @ San Francisco Giants (5) Boxscore
"Thursday, June 26, 2025",Chicago Cubs,St. Louis Cardinals,3,0,,,Chicago Cubs (3) @ St. Louis Cardinals (0) Boxscore
"Friday, June 27, 2025",Washington Nationals,Los Angeles Angels,15,9,,,Washington Nationals (15) @ Los Angeles Angels (9) Boxscore
"Friday, June 27, 2025",Miami Marlins,Arizona D'Backs,9,8,,,Miami Marlins (9) @ Arizona D'Backs (8) Boxscore
"Friday, June 27, 2025",Philadelphia Phillies,Atlanta Braves,13,0,,,Philadelphia Phillies (13) @ Atlanta Braves (0) Boxscore
"Friday, June 27, 2025",Tampa Bay Rays,Baltimore Orioles,8,22,,,Tampa Bay Rays (8) @ Baltimore Orioles (22) Boxscore
"Friday, June 27, 2025",Toronto Blue Jays,Boston Red Sox,9,0,,,Toronto Blue Jays (9) @ Boston Red Sox (0) Boxscore
"Friday, June 27, 2025",San Francisco Giants,Chicago White Sox,3,1,,,San Francisco Giants (3) @ Chicago White Sox (1) Boxscore
"Friday, June 27, 2025",San Diego Padres,Cincinnati Reds,1,8,,,San Diego Padres (1) @ Cincinnati Reds (8) Boxscore
"Friday, June 27, 2025",St. Louis Cardinals,Cleveland Guardians,5,0,,,St. Louis Cardinals (5) @ Cleveland Guardians (0) Boxscore
"Friday, June 27, 2025",Minnesota Twins,Detroit Tigers,4,1,,,Minnesota Twins (4) @ Detroit Tigers (1) Boxscore
"Friday, June 27, 2025",Chicago Cubs,Houston Astros,4,7,,,Chicago Cubs (4) @ Houston Astros (7) Boxscore
"Friday, June 27, 2025",Los Angeles Dodgers,Kansas City Royals,5,4,,,Los Angeles Dodgers (5) @ Kansas City Royals (4) Boxscore
"Friday, June 27, 2025",Colorado Rockies,Milwaukee Brewers,6,10,,,Colorado Rockies (6) @ Milwaukee Brewers (10) Boxscore
"Friday, June 27, 2025",Athletics,New York Yankees,0,3,,,Athletics (0) @ New York Yankees (3) Boxscore
"Friday, June 27, 2025",New York Mets,Pittsburgh Pirates,1,9,,,New York Mets (1) @ Pittsburgh Pirates (9) Boxscore
"Friday, June 27, 2025",Seattle Mariners,Texas Rangers,7,6,,,Seattle Mariners (7) @ Texas Rangers (6) Boxscore
"Saturday, June 28, 2025",Washington Nationals,Los Angeles Angels,2,8,,,Washington Nationals (2) @ Los Angeles Angels (8) Boxscore
"Saturday, June 28, 2025",Miami Marlins,Arizona D'Backs,8,7,,,Miami Marlins (8) @ Arizona D'Backs (7) Boxscore
"Saturday, June 28, 2025",Philadelphia Phillies,Atlanta Braves,1,6,,,Philadelphia Phillies (1) @ Atlanta Braves (6) Boxscore
"Saturday, June 28, 2025",Tampa Bay Rays,Baltimore Orioles,11,3,,,Tampa Bay Rays (11) @ Baltimore Orioles (3) Boxscore
"Saturday, June 28, 2025",Toronto Blue Jays,Boston Red Sox,1,15,,,Toronto Blue Jays (1) @ Boston Red Sox (15) Boxscore
"Saturday, June 28, 2025",San Francisco Giants,Chicago White Sox,0,1,,,San Francisco Giants (0) @ Chicago White Sox (1) Boxscore
"Saturday, June 28, 2025",San Diego Padres,Cincinnati Reds,6,4,,,San Diego Padres (6) @ Cincinnati Reds (4) Boxscore
"Saturday, June 28, 2025",St. Louis Cardinals,Cleveland Guardians,9,6,,,St. Louis Cardinals (9) @ Cleveland Guardians (6) Boxscore
"Saturday, June 28, 2025",Minnesota Twins,Detroit Tigers,5,10,,,Minnesota Twins (5) @ Detroit Tigers (10) Boxscore
"Saturday, June 28, 2025",Chicago Cubs,Houston Astros,12,3,,,Chicago Cubs (12) @ Houston Astros (3) Boxscore
"Saturday, June 28, 2025",Los Angeles Dodgers,Kansas City Royals,5,9,,,Los Angeles Dodgers (5) @ Kansas City Royals (9) Boxscore
"Saturday, June 28, 2025",Colorado Rockies,Milwaukee Brewers,0,5,,,Colorado Rockies (0) @ Milwaukee Brewers (5) Boxscore
"Saturday, June 28, 2025",Athletics,New York Yankees,7,0,,,Athletics (7) @ New York Yankees (0) Boxscore
"Saturday, June 28, 2025",New York Mets,Pittsburgh Pirates,2,9,,,New York Mets (2) @ Pittsburgh Pirates (9) Boxscore
"Saturday, June 28, 2025",Seattle Mariners,Texas Rangers,2,3,,,Seattle Mariners (2) @ Texas Rangers (3) Boxscore
"Sunday, June 29, 2025",Washington Nationals,Los Angeles Angels,7,4,,,Washington Nationals (7) @ Los Angeles Angels (4) Boxscore
"Sunday, June 29, 2025",Miami Marlins,Arizona D'Backs,6,4,,,Miami Marlins (6) @ Arizona D'Backs (4) Boxscore
"Sunday, June 29, 2025",Philadelphia Phillies,Atlanta Braves,2,1,,,Philadelphia Phillies (2) @ Atlanta Braves (1) Boxscore
"Sunday, June 29, 2025",Tampa Bay Rays,Baltimore Orioles,1,5,,,Tampa Bay Rays (1) @ Baltimore Orioles (5) Boxscore
"Sunday, June 29, 2025",Toronto Blue Jays,Boston Red Sox,5,3,,,Toronto Blue Jays (5) @ Boston Red Sox (3) Boxscore
"Sunday, June 29, 2025",San Francisco Giants,Chicago White Sox,2,5,,,San Francisco Giants (2) @ Chicago White Sox (5) Boxscore
"Sunday, June 29, 2025",San Diego Padres,Cincinnati Reds,2,3,,,San Diego Padres (2) @ Cincinnati Reds (3) Boxscore
"Sunday, June 29, 2025",St. Louis Cardinals,Cleveland Guardians,7,0,,,St. Louis Cardinals (7) @ Cleveland Guardians (0) Boxscore
"Sunday, June 29, 2025",Minnesota Twins,Detroit Tigers,0,3,,,Minnesota Twins (0) @ Detroit Tigers (3) Boxscore
"Sunday, June 29, 2025",Chicago Cubs,Houston Astros,0,2,,,Chicago Cubs (0) @ Houston Astros (2) Boxscore
"Sunday, June 29, 2025",Los Angeles Dodgers,Kansas City Royals,5,1,,,Los Angeles Dodgers (5) @ Kansas City Royals (1) Boxscore
"Sunday, June 29, 2025",Colorado Rockies,Milwaukee Brewers,4,3,,,Colorado Rockies (4) @ Milwaukee Brewers (3) Boxscore
"Sunday, June 29, 2025",Athletics,New York Yankees,5,12,,,Athletics (5) @ New York Yankees (12) Boxscore
"Sunday, June 29, 2025",New York Mets,Pittsburgh Pirates,1,12,,,New York Mets (1) @ Pittsburgh Pirates (12) Boxscore
"Sunday, June 29, 2025",Seattle Mariners,Texas Rangers,6,4,,,Seattle Mariners (6) @ Texas Rangers (4) Boxscore
"Monday, June 30, 2025",San Francisco Giants,Arizona D'Backs,2,4,,,San Francisco Giants (2) @ Arizona D'Backs (4) Boxscore
"Monday, June 30, 2025",Cincinnati Reds,Boston Red Sox,6,13,,,Cincinnati Reds (6) @ Boston Red Sox (13) Boxscore
"Monday, June 30, 2025",San Diego Padres,Philadelphia Phillies,0,4,,,San Diego Padres (0) @ Philadelphia Phillies (4) Boxscore
"Monday, June 30, 2025",St. Louis Cardinals,Pittsburgh Pirates,0,7,,,St. Louis Cardinals (0) @ Pittsburgh Pirates (7) Boxscore
"Monday, June 30, 2025",Kansas City Royals,Seattle Mariners,2,6,,,Kansas City Royals (2) @ Seattle Mariners (6) Boxscore
"Monday, June 30, 2025",Athletics,Tampa Bay Rays,6,4,,,Athletics (6) @ Tampa Bay Rays (4) Boxscore
"Monday, June 30, 2025",Baltimore Orioles,Texas Rangers,10,6,,,Baltimore Orioles (10) @ Texas Rangers (6) Boxscore
"Monday, June 30, 2025",New York Yankees,Toronto Blue Jays,4,5,,,New York Yankees (4) @ Toronto Blue Jays (5) Boxscore
"Tuesday, July 1, 2025",San Francisco Giants,Arizona D'Backs,2,8,,,San Francisco Giants (2) @ Arizona D'Backs (8) Boxscore
"Tuesday, July 1, 2025",Los Angeles Angels,Atlanta Braves,4,0,,,Los Angeles Angels (4) @ Atlanta Braves (0) Boxscore
"Tuesday, July 1, 2025",Cincinnati Reds,Boston Red Sox,3,5,,,Cincinnati Reds (3) @ Boston Red Sox (5) Boxscore
"Tuesday, July 1, 2025",Cleveland Guardians,Chicago Cubs,2,5,,,Cleveland Guardians (2) @ Chicago Cubs (5) Boxscore
"Tuesday, July 1, 2025",Houston Astros,Colorado Rockies,6,5,,,Houston Astros (6) @ Colorado Rockies (5) Boxscore
"Tuesday, July 1, 2025",Chicago White Sox,Los Angeles Dodgers,1,6,,,Chicago White Sox (1) @ Los Angeles Dodgers (6) Boxscore
"Tuesday, July 1, 2025",Minnesota Twins,Miami Marlins,0,2,,,Minnesota Twins (0) @ Miami Marlins (2) Boxscore
"Tuesday, July 1, 2025",St. Louis Cardinals,Pittsburgh Pirates,0,1,,,St. Louis Cardinals (0) @ Pittsburgh Pirates (1) Boxscore
"Tuesday, July 1, 2025",Kansas City Royals,Seattle Mariners,6,3,,,Kansas City Royals (6) @ Seattle Mariners (3) Boxscore
"Tuesday, July 1, 2025",Athletics,Tampa Bay Rays,4,3,,,Athletics (4) @ Tampa Bay Rays (3) Boxscore
"Tuesday, July 1, 2025",Baltimore Orioles,Texas Rangers,2,10,,,Baltimore Orioles (2) @ Texas Rangers (10) Boxscore
"Tuesday, July 1, 2025",New York Yankees,Toronto Blue Jays,5,12,,,New York Yankees (5) @ Toronto Blue Jays (12) Boxscore
"Wednesday, July 2, 2025",San Francisco Giants,Arizona D'Backs,6,5,,,San Francisco Giants (6) @ Arizona D'Backs (5) Boxscore
"Wednesday, July 2, 2025",Los Angeles Angels,Atlanta Braves,3,8,,,Los Angeles Angels (3) @ Atlanta Braves (8) Boxscore
"Wednesday, July 2, 2025",Cincinnati Reds,Boston Red Sox,8,4,,,Cincinnati Reds (8) @ Boston Red Sox (4) Boxscore
"Wednesday, July 2, 2025",Cleveland Guardians,Chicago Cubs,4,5,,,Cleveland Guardians (4) @ Chicago Cubs (5) Boxscore
"Wednesday, July 2, 2025",Houston Astros,Colorado Rockies,5,3,,,Houston Astros (5) @ Colorado Rockies (3) Boxscore
"Wednesday, July 2, 2025",Chicago White Sox,Los Angeles Dodgers,4,5,,,Chicago White Sox (4) @ Los Angeles Dodgers (5) Boxscore
"Wednesday, July 2, 2025",Minnesota Twins,Miami Marlins,2,1,,,Minnesota Twins (2) @ Miami Marlins (1) Boxscore
"Wednesday, July 2, 2025",Milwaukee Brewers,New York Mets,7,2,,,Milwaukee Brewers (7) @ New York Mets (2) Boxscore
"Wednesday, July 2, 2025",Milwaukee Brewers,New York Mets,3,7,,,Milwaukee Brewers (3) @ New York Mets (7) Boxscore
"Wednesday, July 2, 2025",San Diego Padres,Philadelphia Phillies,6,4,,,San Diego Padres (6) @ Philadelphia Phillies (4) Boxscore
"Wednesday, July 2, 2025",San Diego Padres,Philadelphia Phillies,1,5,,,San Diego Padres (1) @ Philadelphia Phillies (5) Boxscore
"Wednesday, July 2, 2025",St. Louis Cardinals,Pittsburgh Pirates,0,5,,,St. Louis Cardinals (0) @ Pittsburgh Pirates (5) Boxscore
"Wednesday, July 2, 2025",Kansas City Royals,Seattle Mariners,2,3,,,Kansas City Royals (2) @ Seattle Mariners (3) Boxscore
"Wednesday, July 2, 2025",Athletics,Tampa Bay Rays,5,6,,,Athletics (5) @ Tampa Bay Rays (6) Boxscore
"Wednesday, July 2, 2025",Baltimore Orioles,Texas Rangers,0,6,,,Baltimore Orioles (0) @ Texas Rangers (6) Boxscore
"Wednesday, July 2, 2025",New York Yankees,Toronto Blue Jays,9,11,,,New York Yankees (9) @ Toronto Blue Jays (11) Boxscore
"Wednesday, July 2, 2025",Detroit Tigers,Washington Nationals,11,2,,,Detroit Tigers (11) @ Washington Nationals (2) Boxscore
"Wednesday, July 2, 2025",Detroit Tigers,Washington Nationals,4,9,,,Detroit Tigers (4) @ Washington Nationals (9) Boxscore
"Thursday, July 3, 2025",San Francisco Giants,Arizona D'Backs,7,2,,,San Francisco Giants (7) @ Arizona D'Backs (2) Boxscore
"Thursday, July 3, 2025",Los Angeles Angels,Atlanta Braves,5,1,,,Los Angeles Angels (5) @ Atlanta Braves (1) Boxscore
"Thursday, July 3, 2025",Cleveland Guardians,Chicago Cubs,0,1,,,Cleveland Guardians (0) @ Chicago Cubs (1) Boxscore
"Thursday, July 3, 2025",Houston Astros,Colorado Rockies,6,7,,,Houston Astros (6) @ Colorado Rockies (7) Boxscore
